id,source,target,type,subtypes,source_entry_id,target_entry_id
relation_1,entry_30,entry_31,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",30,31
relation_2,entry_31,entry_27,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",31,27
relation_3,entry_27,entry_18,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",27,18
relation_4,entry_18,entry_32,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",18,32
relation_5,entry_18,entry_33,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",18,33
relation_6,entry_18,entry_19,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",18,19
relation_7,entry_19,entry_89,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",19,89
relation_8,entry_207,entry_208,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",207,208
relation_9,entry_208,entry_195,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",208,195
relation_10,entry_195,entry_198,PCrel,"[{""name"": ""activation"", ""value"": ""-->""}]",195,198
relation_11,entry_198,entry_96,PCrel,"[{""name"": ""activation"", ""value"": ""-->""}, {""name"": ""indirect effect"", ""value"": ""..>""}]",198,96
relation_12,entry_96,entry_89,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",96,89
relation_13,entry_194,entry_187,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",194,187
relation_14,entry_187,entry_97,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",187,97
relation_15,entry_97,entry_89,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",97,89
relation_16,entry_194,entry_234,PCrel,"[{""name"": ""activation"", ""value"": ""-->""}, {""name"": ""indirect effect"", ""value"": ""..>""}]",194,234
relation_17,entry_194,entry_190,PCrel,"[{""name"": ""activation"", ""value"": ""-->""}, {""name"": ""indirect effect"", ""value"": ""..>""}]",194,190
relation_18,entry_234,entry_236,PCrel,"[{""name"": ""activation"", ""value"": ""-->""}]",234,236
relation_19,entry_190,entry_186,PCrel,"[{""name"": ""activation"", ""value"": ""-->""}]",190,186
relation_20,entry_186,entry_97,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",186,97
relation_21,entry_236,entry_97,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}, {""name"": ""phosphorylation"", ""value"": ""+p""}]",236,97
relation_22,entry_92,entry_89,PCrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",92,89
relation_23,entry_91,entry_12,PCrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",91,12
relation_24,entry_99,entry_12,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",99,12
relation_25,entry_98,entry_12,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",98,12
relation_26,entry_12,entry_114,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",12,114
relation_27,entry_114,entry_115,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",114,115
relation_28,entry_113,entry_116,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",113,116
relation_29,entry_114,entry_113,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",114,113
relation_30,entry_115,entry_116,PPrel,"[{""name"": ""binding/association"", ""value"": ""---""}]",115,116
relation_31,entry_12,entry_113,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",12,113
relation_32,entry_12,entry_35,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",12,35
relation_33,entry_12,entry_24,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",12,24
relation_34,entry_12,entry_109,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",12,109
relation_35,entry_12,entry_11,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",12,11
relation_36,entry_12,entry_37,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",12,37
relation_37,entry_12,entry_38,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",12,38
