ModelID,CellLineName,StrippedCellLineName,OncotreeSubtype,OncotreeCode,OncotreeLineage,Sex,Age,PrimaryOrMetastasis,SampleCollectionSite,ModelSubtypeFeatures,PatientSubtypeFeatures,Stage,PatientTreatmentStatus,GrowthPattern
ACH-000012,HCC-827,HCC827,Lung Adenocarcinoma,LUAD,Lung,Female,39.0,Primary,lung,,,,,Adherent
ACH-000021,NCI-H1693,NCIH1693,Lung Adenocarcinoma,LUAD,Lung,Female,55.0,Metastatic,lymph_node,,,,,Adherent
ACH-000029,HCC-827-GR5,HCC827GR5,Lung Adenocarcinoma,LUAD,Lung,Female,39.0,Primary,lung,,,,,Adherent
ACH-000030,PC-14,PC14,Lung Adenocarcinoma,LUAD,Lung,Male,45.0,Primary,lung,,,,,Adherent
ACH-000033,NCI-H1819,NCIH1819,Lung Adenocarcinoma,LUAD,Lung,Female,55.0,Metastatic,lymph_node,,,,,Adherent
ACH-000062,RERF-LC-MS,RERFLCMS,Lung Adenocarcinoma,LUAD,Lung,Male,,Primary,lung,,,,,Adherent
ACH-000066,HCC4006,HCC4006,Lung Adenocarcinoma,LUAD,Lung,Male,50.0,Metastatic,pleural_effusion,,,,,Adherent
ACH-000109,NCI-H3255,NCIH3255,Lung Adenocarcinoma,LUAD,Lung,Female,52.0,Primary,lung,,,,,Mixed
ACH-000121,NCI-H2405,NCIH2405,Lung Adenocarcinoma,LUAD,Lung,Male,47.0,Metastatic,ascites,,,,,Mixed
ACH-000150,HCC2935,HCC2935,Lung Adenocarcinoma,LUAD,Lung,Male,39.0,Primary,pleural_effusion,,,,,Adherent
ACH-000161,COR-L105,CORL105,Lung Adenocarcinoma,LUAD,Lung,Male,,Metastatic,pleural_effusion,,,,,Adherent
ACH-000264,Calu-6,CALU6,Lung Adenocarcinoma,LUAD,Lung,Female,61.0,Metastatic,pleural_effusion,,,,,Adherent
ACH-000282,NCI-H1755,NCIH1755,Lung Adenocarcinoma,LUAD,Lung,Female,65.0,Metastatic,liver,,,,,Mixed
ACH-000309,SK-LU-1,SKLU1,Lung Adenocarcinoma,LUAD,Lung,Female,60.0,Primary,lung,,,,,Adherent
ACH-000311,NCI-H2122,NCIH2122,Lung Adenocarcinoma,LUAD,Lung,Female,46.0,Metastatic,pleural_effusion,,,,,Adherent
ACH-000314,HCC-2108,HCC2108,Lung Adenocarcinoma,LUAD,Lung,Male,59.0,Primary,lung,,,,,Adherent
ACH-000327,NCI-H1395,NCIH1395,Lung Adenocarcinoma,LUAD,Lung,Female,55.0,Primary,lung,,,,,Adherent
ACH-000337,NCI-H3122,NCIH3122,Lung Adenocarcinoma,LUAD,Lung,Male,,Primary,lung,,,,,Adherent
ACH-000339,HCC-461,HCC461,Lung Adenocarcinoma,LUAD,Lung,Male,69.0,Primary,lung,,,,,Adherent
ACH-000343,NCI-H522,NCIH522,Lung Adenocarcinoma,LUAD,Lung,Male,58.0,Primary,lung,,,,,Adherent
ACH-000379,NCI-H1781,NCIH1781,Lung Adenocarcinoma,LUAD,Lung,Female,66.0,Metastatic,pleural_effusion,,,,,Adherent
ACH-000392,Calu-3,CALU3,Lung Adenocarcinoma,LUAD,Lung,Male,25.0,Metastatic,pleural_effusion,,,,,Adherent
ACH-000414,NCI-H1944,NCIH1944,Lung Adenocarcinoma,LUAD,Lung,Female,62.0,Metastatic,soft_tissue,,,,,Adherent
ACH-000416,NCI-H838,NCIH838,Lung Adenocarcinoma,LUAD,Lung,Male,59.0,Metastatic,lymph_node,,,,,Adherent
ACH-000447,NCI-H2228,NCIH2228,Lung Adenocarcinoma,LUAD,Lung,Female,,Primary,lung,,,,,Adherent
ACH-000448,NCI-H1666,NCIH1666,Lung Adenocarcinoma,LUAD,Lung,Female,50.0,Metastatic,pleural_effusion,,,,,Mixed
ACH-000451,NCI-H2085,NCIH2085,Lung Adenocarcinoma,LUAD,Lung,Male,45.0,Primary,lung,,,,,Adherent
ACH-000482,RERF-LC-KJ,RERFLCKJ,Lung Adenocarcinoma,LUAD,Lung,Male,78.0,Primary,lung,,,,,Adherent
ACH-000496,NCI-H1792,NCIH1792,Lung Adenocarcinoma,LUAD,Lung,Male,50.0,Metastatic,pleural_effusion,,,,,Adherent
ACH-000521,NCI-H2030,NCIH2030,Lung Adenocarcinoma,LUAD,Lung,Male,,Metastatic,lymph_node,,,,,Adherent
ACH-000528,ABC-1,ABC1,Lung Adenocarcinoma,LUAD,Lung,Male,47.0,Metastatic,pleural_effusion,,,,,Adherent
ACH-000562,HCC-78,HCC78,Lung Adenocarcinoma,LUAD,Lung,Male,65.0,Metastatic,pleural_effusion,,,,,Adherent
ACH-000575,HCC-364,HCC364,Lung Adenocarcinoma,LUAD,Lung,Male,76.0,Primary,lung,,,,,Adherent
ACH-000578,HCC-1171,HCC1171,Lung Adenocarcinoma,LUAD,Lung,Male,58.0,Primary,lung,,,,,Adherent
ACH-000587,NCI-H1975,NCIH1975,Lung Adenocarcinoma,LUAD,Lung,Female,,Primary,lung,,,,,Adherent
ACH-000589,NCI-H1437,NCIH1437,Lung Adenocarcinoma,LUAD,Lung,Male,60.0,Metastatic,pleural_effusion,,,,,Adherent
ACH-000590,NCI-H2073,NCIH2073,Lung Adenocarcinoma,LUAD,Lung,Female,47.0,Primary,lung,,,,,Adherent
ACH-000638,NCI-H441,NCIH441,Lung Adenocarcinoma,LUAD,Lung,Male,33.0,Metastatic,pericardial_effusion,,,,,Adherent
ACH-000666,NCI-H1355,NCIH1355,Lung Adenocarcinoma,LUAD,Lung,Male,53.0,Metastatic,pleural_effusion,,,,,Suspension
ACH-000667,HCC-44,HCC44,Lung Adenocarcinoma,LUAD,Lung,Female,54.0,Primary,lung,,,,,Adherent
ACH-000675,NCI-H1734,NCIH1734,Lung Adenocarcinoma,LUAD,Lung,Female,56.0,Primary,lung,,,,,Adherent
ACH-000677,SW 1573,SW1573,Lung Adenocarcinoma,LUAD,Lung,Female,44.0,Primary,lung,,,,,Adherent
ACH-000681,A549,A549,Lung Adenocarcinoma,LUAD,Lung,Male,58.0,Primary,lung,,,,,Adherent
ACH-000706,EKVX,EKVX,Lung Adenocarcinoma,LUAD,Lung,Male,,Primary,lung,,,,,Adherent
ACH-000712,HCC-1833,HCC1833,Lung Adenocarcinoma,LUAD,Lung,Female,69.0,Primary,lung,,,,,Adherent
ACH-000718,NCI-H2291,NCIH2291,Lung Adenocarcinoma,LUAD,Lung,Male,,Metastatic,lymph_node,,,,,Adherent
ACH-000733,NCI-H1838,NCIH1838,Lung Adenocarcinoma,LUAD,Lung,Female,,Primary,lung,,,,,Adherent
ACH-000744,NCI-H1623,NCIH1623,Lung Adenocarcinoma,LUAD,Lung,Male,58.0,Metastatic,lymph_node,,,,,Adherent
ACH-000757,A427,A427,Lung Adenocarcinoma,LUAD,Lung,Male,52.0,Primary,lung,,,,,Adherent
ACH-000766,NCI-H1648,NCIH1648,Lung Adenocarcinoma,LUAD,Lung,Male,39.0,Metastatic,lymph_node,,,,,Adherent
ACH-000774,RERF-LC-Ad2,RERFLCAD2,Lung Adenocarcinoma,LUAD,Lung,Male,,Primary,lung,,,,,Adherent
ACH-000779,PC-9,PC9,Lung Adenocarcinoma,LUAD,Lung,Male,45.0,Primary,lung,,,,,Adherent
