gene,hotspot_freq_luad,n_luad_lines_hotspot,n_luad_lines_screened_hotspot,mean_expr_logTPM,std_expr_logTPM,n_luad_lines_expr,mean_copy_number,n_luad_lines_cn,mean_crispr_dependency,n_luad_lines_crispr_dependency,mean_crispr_effect,n_luad_lines_crispr_effect
A1BG,,,,2.1242,1.6568,83.0,1.1877,45.0,0.0234,53.0,0.0382,53.0
A1CF,,,,0.2068,0.5828,83.0,0.9973,45.0,0.0332,53.0,-0.0067,53.0
A2M,,,,0.2563,0.4199,83.0,1.1466,45.0,0.028,53.0,0.0041,53.0
A2ML1,,,,0.251,0.7239,83.0,1.0491,45.0,0.013,53.0,0.1103,53.0
A3GALT2,,,,0.0239,0.0517,83.0,0.934,45.0,0.0453,53.0,-0.0358,53.0
A4GALT,,,,2.7098,1.22,83.0,0.8952,45.0,0.072,53.0,-0.1039,53.0
A4GNT,,,,0.1359,0.2801,83.0,1.1306,45.0,0.0115,53.0,0.1224,53.0
AAAS,,,,5.3237,0.533,83.0,1.1886,45.0,0.3049,53.0,-0.3346,53.0
AACS,,,,3.9421,0.6286,83.0,1.0492,45.0,0.0371,53.0,0.044,53.0
AADAC,,,,0.9957,1.6528,83.0,1.1516,45.0,0.0104,53.0,0.1565,53.0
AADACL2,,,,0.0037,0.0103,83.0,1.1564,45.0,0.0161,53.0,0.0701,53.0
AADACL3,,,,0.015,0.0779,83.0,0.9915,45.0,0.0206,53.0,0.042,53.0
AADACL4,,,,0.003,0.0077,83.0,0.9905,45.0,0.0199,53.0,0.0346,53.0
AADAT,,,,2.5152,0.839,83.0,0.9322,45.0,0.0377,53.0,-0.0365,53.0
AAGAB,,,,5.5977,0.6096,83.0,1.1485,45.0,0.0332,53.0,0.0296,53.0
AAK1,,,,3.3584,0.629,83.0,1.2173,45.0,0.1492,53.0,-0.1909,53.0
AAMDC,,,,5.0384,0.8922,83.0,1.274,45.0,0.0426,53.0,-0.0449,53.0
AAMP,,,,6.7618,0.4239,83.0,1.0168,45.0,0.8585,53.0,-0.8746,53.0
AANAT,,,,0.1796,0.1962,83.0,1.1456,45.0,0.1468,53.0,-0.2048,53.0
AAR2,,,,4.3837,0.4611,83.0,1.3572,45.0,0.0497,53.0,-0.037,53.0
AARD,,,,0.7281,1.1172,83.0,1.2156,45.0,0.1572,53.0,-0.2037,53.0
AARS1,,,,6.7582,0.8894,83.0,1.0991,45.0,0.9993,53.0,-2.291,53.0
AARS2,,,,2.8689,0.5134,83.0,1.0388,45.0,0.5907,53.0,-0.5829,53.0
AARSD1,,,,5.5895,0.4135,83.0,1.0615,45.0,0.169,53.0,-0.2099,53.0
AASDH,,,,2.6438,0.5049,83.0,0.9403,45.0,0.0531,53.0,-0.0691,53.0
AASDHPPT,,,,5.3273,0.5976,83.0,1.098,45.0,0.341,53.0,-0.3301,53.0
AASS,,,,1.5991,1.3176,83.0,1.1277,45.0,0.019,53.0,0.0553,53.0
AATF,,,,5.7497,0.6665,83.0,1.2989,45.0,0.7574,53.0,-0.6812,53.0
AATK,,,,0.727,0.5485,83.0,1.232,45.0,0.114,53.0,-0.1335,53.0
ABAT,,,,1.327,1.0327,83.0,1.0006,45.0,0.0552,53.0,-0.055,53.0
ABCA1,0.0,0.0,131.0,2.031,1.4301,83.0,1.0315,45.0,0.0412,53.0,-0.0221,53.0
ABCA10,,,,0.4108,0.5839,83.0,1.1471,45.0,0.015,53.0,0.1105,53.0
ABCA12,,,,0.9896,1.2668,83.0,1.0399,45.0,0.0433,53.0,0.001,53.0
ABCA13,0.0,0.0,131.0,0.5751,0.868,83.0,1.292,45.0,0.054,53.0,-0.0518,53.0
ABCA2,,,,4.1931,0.8798,83.0,1.2414,45.0,0.0486,53.0,-0.0175,53.0
ABCA3,,,,2.3924,1.4015,83.0,0.9543,45.0,0.0271,53.0,0.0097,53.0
ABCA4,,,,1.0551,1.4418,83.0,1.3739,45.0,0.1124,53.0,-0.1749,53.0
ABCA5,0.0,0.0,131.0,2.3728,0.8893,83.0,1.1171,45.0,0.0529,53.0,-0.0542,53.0
ABCA6,,,,0.1669,0.5031,83.0,1.1505,45.0,0.0233,53.0,0.0811,53.0
ABCA7,,,,3.5544,0.9401,83.0,0.8634,45.0,0.0275,53.0,0.0871,53.0
ABCA8,,,,0.4249,0.9227,83.0,1.158,45.0,0.0489,53.0,-0.0421,53.0
ABCA9,0.0,0.0,131.0,0.0609,0.1653,83.0,1.1545,45.0,0.0141,53.0,0.1015,53.0
ABCB1,,,,0.7023,1.21,83.0,1.1935,45.0,0.0991,53.0,-0.1188,53.0
ABCB10,,,,3.8435,0.642,83.0,1.081,45.0,0.2187,53.0,-0.2525,53.0
ABCB11,,,,0.1097,0.197,83.0,1.0896,45.0,0.0543,53.0,-0.0645,53.0
ABCB4,,,,0.2044,0.3935,83.0,1.2063,45.0,0.0463,53.0,-0.0389,53.0
ABCB5,,,,0.089,0.2606,83.0,1.2196,45.0,0.0466,53.0,-0.0459,53.0
ABCB6,,,,4.3011,1.1407,83.0,1.0803,45.0,0.0371,53.0,0.0036,53.0
ABCB7,,,,4.176,0.634,83.0,0.7039,45.0,0.8833,53.0,-1.0283,53.0
ABCB8,,,,4.5144,0.7216,83.0,1.1564,45.0,0.0197,53.0,0.0475,53.0
ABCB9,,,,2.6401,0.7053,83.0,1.0757,45.0,0.0473,53.0,-0.0337,53.0
ABCC1,,,,4.9581,1.0323,83.0,1.0044,45.0,0.0302,53.0,0.0222,53.0
ABCC10,0.0,0.0,131.0,3.5244,0.6284,83.0,1.0227,45.0,0.1043,53.0,-0.1445,53.0
ABCC11,,,,0.2825,0.2252,83.0,1.1219,45.0,0.0269,53.0,0.0376,53.0
ABCC12,,,,0.0522,0.1326,83.0,1.1534,45.0,0.0203,53.0,0.043,53.0
ABCC2,,,,3.3982,2.716,83.0,1.0392,45.0,0.0388,53.0,-0.0399,53.0
ABCC3,,,,5.7725,2.0756,83.0,1.2085,45.0,0.037,53.0,-0.0212,53.0
ABCC4,,,,3.3232,1.0933,83.0,0.8937,45.0,0.0143,53.0,0.1225,53.0
ABCC5,,,,4.1397,0.9824,83.0,1.1224,45.0,0.0245,53.0,0.0452,53.0
ABCC6,,,,1.6896,1.1264,83.0,0.9925,45.0,0.047,19.0,-0.04,19.0
ABCC8,,,,0.3875,0.7596,83.0,0.9747,45.0,0.0267,53.0,0.0157,53.0
ABCC9,0.0,0.0,131.0,0.5504,0.8593,83.0,1.2161,45.0,0.045,53.0,-0.0478,53.0
ABCD1,,,,2.8364,0.9972,83.0,0.8368,45.0,0.2363,53.0,-0.2666,53.0
ABCD2,,,,0.1026,0.2972,83.0,1.1731,45.0,0.037,53.0,-0.0028,53.0
ABCD3,,,,5.0845,0.7437,83.0,1.2651,45.0,0.1225,53.0,-0.1262,53.0
ABCD4,,,,4.8262,0.5483,83.0,1.2524,45.0,0.0854,53.0,-0.0998,53.0
ABCE1,,,,6.3878,0.5786,83.0,0.9162,45.0,0.9992,53.0,-1.8847,53.0
ABCF1,,,,5.3267,0.601,83.0,1.0422,45.0,0.9446,53.0,-1.0549,53.0
ABCF2,,,,4.9555,0.5816,83.0,1.1741,45.0,,,,
ABCF2-H2BK1,,,,,,,1.1621,45.0,,,,
ABCF3,,,,5.6551,0.5111,83.0,1.1495,45.0,0.0187,53.0,0.0725,53.0
ABCG1,,,,1.3497,1.4004,83.0,0.9682,45.0,0.0323,53.0,-0.0006,53.0
ABCG2,,,,2.5074,1.6966,83.0,0.899,45.0,0.0179,53.0,0.0545,53.0
ABCG4,,,,0.2318,0.3382,83.0,1.1252,45.0,0.0231,53.0,0.0334,53.0
ABCG5,,,,0.0245,0.1001,83.0,1.1939,45.0,0.0248,53.0,0.038,53.0
