gene,pathway
AKT1,path:ptr01521
AKT1,path:ptr01522
AKT1,path:ptr01524
AKT1,path:ptr04010
AKT1,path:ptr04012
AKT1,path:ptr04014
AKT1,path:ptr04015
AKT1,path:ptr04022
AKT1,path:ptr04024
AKT1,path:ptr04062
AKT1,path:ptr04066
AKT1,path:ptr04068
AKT1,path:ptr04071
AKT1,path:ptr04072
AKT1,path:ptr04140
AKT1,path:ptr04150
AKT1,path:ptr04151
AKT1,path:ptr04152
AKT1,path:ptr04210
AKT1,path:ptr04211
AKT1,path:ptr04213
AKT1,path:ptr04218
AKT1,path:ptr04261
AKT1,path:ptr04370
AKT1,path:ptr04371
AKT1,path:ptr04380
AKT1,path:ptr04510
AKT1,path:ptr04517
AKT1,path:ptr04518
AKT1,path:ptr04550
AKT1,path:ptr04611
AKT1,path:ptr04613
AKT1,path:ptr04620
AKT1,path:ptr04625
AKT1,path:ptr04630
AKT1,path:ptr04660
AKT1,path:ptr04662
AKT1,path:ptr04664
AKT1,path:ptr04666
AKT1,path:ptr04668
AKT1,path:ptr04722
AKT1,path:ptr04725
AKT1,path:ptr04728
AKT1,path:ptr04810
AKT1,path:ptr04910
AKT1,path:ptr04914
AKT1,path:ptr04915
AKT1,path:ptr04917
AKT1,path:ptr04919
AKT1,path:ptr04920
AKT1,path:ptr04922
AKT1,path:ptr04923
AKT1,path:ptr04926
AKT1,path:ptr04929
AKT1,path:ptr04931
AKT1,path:ptr04932
AKT1,path:ptr04933
AKT1,path:ptr04935
AKT1,path:ptr04936
AKT1,path:ptr04973
AKT1,path:ptr05010
AKT1,path:ptr05017
AKT1,path:ptr05132
AKT1,path:ptr05135
AKT1,path:ptr05142
AKT1,path:ptr05145
AKT1,path:ptr05152
AKT1,path:ptr05160
AKT1,path:ptr05161
AKT1,path:ptr05162
AKT1,path:ptr05163
AKT1,path:ptr05164
AKT1,path:ptr05165
AKT1,path:ptr05166
AKT1,path:ptr05167
AKT1,path:ptr05168
AKT1,path:ptr05169
AKT1,path:ptr05170
AKT1,path:ptr05200
AKT1,path:ptr05205
AKT1,path:ptr05207
AKT1,path:ptr05208
AKT1,path:ptr05210
AKT1,path:ptr05211
AKT1,path:ptr05212
AKT1,path:ptr05213
AKT1,path:ptr05214
AKT1,path:ptr05215
AKT1,path:ptr05218
AKT1,path:ptr05220
AKT1,path:ptr05221
AKT1,path:ptr05222
AKT1,path:ptr05223
AKT1,path:ptr05224
AKT1,path:ptr05225
AKT1,path:ptr05226
AKT1,path:ptr05230
AKT1,path:ptr05231
AKT1,path:ptr05235
AKT1,path:ptr05415
AKT1,path:ptr05417
AKT1,path:ptr05418
AKT2,path:ptr01521
AKT2,path:ptr01522
AKT2,path:ptr01524
AKT2,path:ptr04010
AKT2,path:ptr04012
AKT2,path:ptr04014
AKT2,path:ptr04015
AKT2,path:ptr04022
AKT2,path:ptr04024
AKT2,path:ptr04062
AKT2,path:ptr04066
AKT2,path:ptr04068
AKT2,path:ptr04071
AKT2,path:ptr04072
AKT2,path:ptr04140
AKT2,path:ptr04150
AKT2,path:ptr04151
AKT2,path:ptr04152
AKT2,path:ptr04210
AKT2,path:ptr04211
AKT2,path:ptr04213
AKT2,path:ptr04218
AKT2,path:ptr04261
AKT2,path:ptr04370
AKT2,path:ptr04371
AKT2,path:ptr04380
AKT2,path:ptr04510
AKT2,path:ptr04517
AKT2,path:ptr04518
AKT2,path:ptr04550
AKT2,path:ptr04611
AKT2,path:ptr04613
AKT2,path:ptr04620
AKT2,path:ptr04625
AKT2,path:ptr04630
AKT2,path:ptr04660
AKT2,path:ptr04662
AKT2,path:ptr04664
AKT2,path:ptr04666
AKT2,path:ptr04668
AKT2,path:ptr04722
AKT2,path:ptr04725
AKT2,path:ptr04728
AKT2,path:ptr04810
AKT2,path:ptr04910
AKT2,path:ptr04914
AKT2,path:ptr04915
AKT2,path:ptr04917
AKT2,path:ptr04919
AKT2,path:ptr04920
AKT2,path:ptr04922
AKT2,path:ptr04923
AKT2,path:ptr04926
AKT2,path:ptr04929
AKT2,path:ptr04931
AKT2,path:ptr04932
AKT2,path:ptr04933
AKT2,path:ptr04935
AKT2,path:ptr04936
AKT2,path:ptr04973
AKT2,path:ptr05010
AKT2,path:ptr05017
AKT2,path:ptr05132
AKT2,path:ptr05135
AKT2,path:ptr05142
AKT2,path:ptr05145
AKT2,path:ptr05152
AKT2,path:ptr05160
AKT2,path:ptr05161
AKT2,path:ptr05162
AKT2,path:ptr05163
AKT2,path:ptr05164
AKT2,path:ptr05165
AKT2,path:ptr05166
AKT2,path:ptr05167
AKT2,path:ptr05168
AKT2,path:ptr05169
AKT2,path:ptr05170
AKT2,path:ptr05200
AKT2,path:ptr05205
AKT2,path:ptr05207
AKT2,path:ptr05208
AKT2,path:ptr05210
AKT2,path:ptr05211
AKT2,path:ptr05212
AKT2,path:ptr05213
AKT2,path:ptr05214
AKT2,path:ptr05215
AKT2,path:ptr05218
AKT2,path:ptr05220
AKT2,path:ptr05221
AKT2,path:ptr05222
AKT2,path:ptr05223
AKT2,path:ptr05224
AKT2,path:ptr05225
AKT2,path:ptr05226
AKT2,path:ptr05230
AKT2,path:ptr05231
AKT2,path:ptr05235
AKT2,path:ptr05415
AKT2,path:ptr05417
AKT2,path:ptr05418
ATR,path:hsa03460
CHEK1,path:ptr04110
CHEK1,path:ptr04115
CHEK1,path:ptr04218
CHEK1,path:ptr05166
CHEK1,path:ptr05170
CHEK1,path:ptr05203
CHEK2,path:ptr04110
CHEK2,path:ptr04115
CHEK2,path:ptr04218
CHEK2,path:ptr05166
ERBB2,path:ptr01521
ERBB2,path:ptr01522
ERBB2,path:ptr01524
ERBB2,path:ptr04010
ERBB2,path:ptr04012
ERBB2,path:ptr04020
ERBB2,path:ptr04066
ERBB2,path:ptr04151
ERBB2,path:ptr04510
ERBB2,path:ptr04518
ERBB2,path:ptr04519
ERBB2,path:ptr04520
ERBB2,path:ptr04530
ERBB2,path:ptr05200
ERBB2,path:ptr05205
ERBB2,path:ptr05206
ERBB2,path:ptr05212
ERBB2,path:ptr05213
ERBB2,path:ptr05215
ERBB2,path:ptr05219
ERBB2,path:ptr05223
ERBB2,path:ptr05224
ERBB2,path:ptr05226
ERBB2,path:ptr05230
ERBB3,path:ptr01521
ERBB3,path:ptr04010
ERBB3,path:ptr04012
ERBB3,path:ptr04020
ERBB3,path:ptr04151
ERBB3,path:ptr05205
ERBB3,path:ptr05206
FGFR2,path:ptr01521
FGFR2,path:ptr04010
FGFR2,path:ptr04014
FGFR2,path:ptr04015
FGFR2,path:ptr04020
